first_appeared_in_issue,name,origin,publisher
The Man Who Conquered the Challengers / Captives of the Alien Beasts,Multi-Man,Human,DC Comics
The Revenge of the Rogues!,Big Sir,Human,DC Comics
The Murder Missile Trap!,Oberon,Human,DC Comics
General Glory Fights Again!,Liberty,Animal,DC Comics
The Extremist Vector Part Four: The Happy Place,Mitch Wacky,Human,DC Comics
Batman--King of the World,Bluejay,Human,DC Comics
Batman--King of the World,Wundajin,God/Eternal,DC Comics
When You Wish...,Tin Man,Human,DC Comics
The Extremist Vector Part One: Kings of the Dust,Dr. Diehard,Alien,DC Comics
The Extremist Vector Part One: Kings of the Dust,Gorgon,Mutant,DC Comics
The Extremist Vector Part One: Kings of the Dust,Tracer,Human,DC Comics
The Extremist Vector Part One: Kings of the Dust,Dreamslayer,Human,DC Comics
GNort by GNortwest,Scarlet Skier,Alien,DC Comics
GNort by GNortwest,Mr. Nebula,God/Eternal,DC Comics
Soul of the Machine / ...Back at the Ranch...,G'Nort,Alien,DC Comics
,Gypsy,Human,DC Comics
Corporate Maneuvers (and leveraged buyouts),Vapor,Human,DC Comics
Hero is a Four Letter Word,Maxi-Man,Human,DC Comics
The Power Ring That Vanished!,Hector Hammond,Human,DC Comics
,Coolio,Human,Non-Fictional
Look Out For The Frightful Four!,Texas Twister,Radiation,Marvel
Winter Special,Augustyne Phyffe,Human,Marvel
The Old Man and the Sea Prince!,Justin Hammer,Human,Marvel
Askani Rising Part 1,Luminesca,Mutant,Marvel
Destroy Stark Industries,Spymaster,Human,Marvel
Winter Special,Glitch,Human,Marvel
Introducing Marvel Boy,Zeus,God/Eternal,Marvel
Quicksand Kills,Kevin Masterson,Human,Marvel
Galactus Found!,Thermal Man,Robot,Marvel
Spring Special,Kundrig,God/Eternal,Marvel
Spring Special,Ms. Normandy,Human,Marvel
Spring Special,Skullcrasher,Human,Marvel
Summer Special,Cynthia Chalmers,Cyborg,Marvel
The Dreaded Diablo!,Diablo,Human,Marvel
The Mind Thieves,Mouse,Human,Marvel
Claws of the Cat!,Cat,Human,Marvel
"God Don't Live on Cell Block D, Part One",Deacon,Human,Marvel
Dead Dogs on Ice!,Buck Samson,Human,DC Comics
War of the Worlds 2,Skarlett,Alien,Marvel
The Thing Vs. Gator!,Gator Grant,Human,Marvel
The Sight Stealer,The Cossack,Human,Marvel
Prisoners of the Mysterious Master Mold!,Master Mold,Robot,Marvel
The Sentinels Live,Larry Trask,Mutant,Marvel
The Monster From The Lost Lagoon,Ms. Monster From The Lost Lagoon,Other,Marvel
A Day to Forget / A Night to Remember / Forever After?,Misty Collins,Human,Marvel
Summer Special,Windstorm,Human,Marvel
Summer Special,Big Bouncer,Human,Marvel
Naziskatten,Kobra,Human,Unknown Publisher
Giants Walk the Earth!,Skagg,God/Eternal,Marvel
The Lava Man,Ymir,God/Eternal,In the Public Domain
,Girl,Human,Amerotica
,Lolita,Human,Ediciones La C̼pula S.L.
Spring Special,Dave Bealer,Human,Marvel
,Jolly Roger,Human,Marvel
The Startling Saga of the Silver Surfer,Wyatt Wingfoot,Human,Marvel
,Miss 130,Human,Ediciones La C̼pula S.L.
The Abominable Snow-King,Torg,Animal,Marvel
Brother Voodoo,Doctor Voodoo,Human,Marvel
