first_appeared_in_issue,name,origin,publisher
"""Information, Please...!"" or .... When Destiny Calls!",Boom-Boom,Mutant,Marvel
The Beginning of the End Part Two,Feral,Mutant,Marvel
The Rocketeer,Domino,Mutant,Marvel
The Beginning of the End Part One,Gideon,Mutant,Marvel
Trials and Terrors,Frenzy,Mutant,Marvel
Greater Love Hath No X-Man,Phoenix Force,God/Eternal,Marvel
There's Something AWFUL on Muir Island!,Proteus,Mutant,Marvel
Origin of the Guardians of the Galaxy,Major Victory,Mutant,Marvel
Origin of the Guardians of the Galaxy,Martinex,Alien,Marvel
Three Worlds to Conquer!,Starhawk,Alien,Marvel
Origin of the Guardians of the Galaxy,Charlie-27,Alien,Marvel
Origin of the Guardians of the Galaxy,Yondu,Alien,Marvel
Devil Dinosaur and Moon-Boy,Devil Dinosaur,Animal,Marvel
Away Game!,Empath,Mutant,Marvel
Deadly Genesis,Thunderbird,Mutant,Marvel
God Spare The Child...,Sebastian Shaw,Mutant,Marvel
Arena,Selene,Mutant,Marvel
Horror At Haunted Castle!,Namora,Mutant,Marvel
"Call Her Llyra, Call Her Legend",Llyra,Mutant,Marvel
Invasion,Byrrah,Human,Marvel
Prog 162,Chief Judge Hershey,Human,Rebellion
The Mark of the Madman!,Zorr,Alien,Marvel
The deadly Diamondhead is ready to strike!,Diamondhead,Human,Marvel
Darkly Dawns the Duck,Darkwing Duck,Animal,Disney
The first night of... the Condor!,Condor,Other,Marvel
Earthshaker,Earthshaker,Human,Marvel
I Demoni Gialli,Pantera Bionda,Human,Editoriale Mercury
Arrival!,Rom,Cyborg,IDW Publishing
The Fantastic Four!,Invisible Woman,Radiation,Marvel
Power Play,Katie Power,Human,Marvel
,Jack Hawksmoor,Cyborg,DC Comics
"Outer Dark, Part 4",Jenny Quantum,Human,DC Comics
A Finer World: Part 1,Midnighter,Human,DC Comics
A Finer World: Part 1,Apollo,Human,DC Comics
,Henry Bendix,Cyborg,DC Comics
,Rose Tattoo,God/Eternal,DC Comics
Change Or Die: Part One Of Three,Doctor,Human,Wildstorm
"The Eternal Return, Part 1 of 12: Come the Revolution",Samson,Other,Wildstorm
,Jenny Sparks,Human,DC Comics
Pawns Of The Deadly Duo!; The Domain Of The Dread Dormammu!,Dormammu,God/Eternal,Marvel
Star Wars,Obi-Wan Kenobi,Human,Marvel
,Cicciolina,Human,Non-Fictional
-,Janice,Human,Ediciones La CÃºpula S.L.
,Ancient One,Human,Marvel
Fighting To The Death With The Asbestos Man! / Beware - - The Machine!!! / Face To Face With The Magic Of Baron Mordo!,Baron Mordo,Human,Marvel
Strange Part 1,Devon,Human,Marvel
,Wong,Human,Marvel
Pawns Of The Deadly Duo!; The Domain Of The Dread Dormammu!,Clea,Alien,Marvel
Coming of a Dragon,Richard Dragon,Human,DC Comics
The Arena of No Exit,Lady Shiva,Human,DC Comics
Tracking Snow,Eddie Fyers,Human,DC Comics
Until the End of the World,Neron,God/Eternal,DC Comics
Made In England Part 1,Angela Nigh,Human,DC Comics
Made In England Part 4,Paula Nigh,Human,DC Comics
Made In England Part 1,Michael Jones,Human,Wildstorm
Made In England Part 1,Robina Shiva,Human,DC Comics
Made In England Part 4,Jessica Nigh,Human,DC Comics
Made In England Part 2,Emily Crowe,Mutant,DC Comics
Judgment Day,Yan Onanwro,Cyborg,Marvel
Made In England Part 1,Jeronimus Corneliszoon,Radiation,DC Comics
,Cutie Bunny,Animal,Fantagraphics
Till Eulenspiegel,Baron MÃ¼nchhausen,Human,In the Public Domain
...And Deliver Us From--The Masters of Evil,Ultron,Robot,Marvel
The Transformers 3-D [#1],Lightspeed,Robot,IDW Publishing
1994,Chamber,Mutant,Marvel
The Learning Curve,Ricochet,Mutant,Marvel
Judgment Day,Phil Urich,Human,Marvel
The Man In The Ant Hill!,Hank Pym,Human,Marvel
The Coming of the Hulk,Rick Jones,Human,Marvel
Pride And Joy: Chapter 1,Alex Wilder,Human,Marvel
The Red Skull,Red Skull,Human,Marvel
Power Play,Piledriver,Other,Marvel
Let There Be Chaos!,Wrecker,Human,Marvel
Power Play,Thunderball,Human,Marvel
Power Play,Bulldozer,Human,Marvel
"True Believers, Part 1",Excavator,Human,Marvel
The Blackvine,Patriot,Human,Marvel
Sidekicks (Part 1),Hulkling,Alien,Marvel
Sidekicks (Part 1),Kate Bishop,Human,Marvel
Sidekicks (Part 1),Iron Lad,Human,Marvel
Prisoners of the Pharoah!,Kang,Human,Marvel
,Jessica Jones,Human,Marvel
The Growing Man,Growing Man,Robot,Marvel
The Coming of the Hulk,Hulk,Radiation,Marvel
The End of the World!; Perilous Patrol; The Plot!!; Beyond The Third Dimension,Thor,God/Eternal,Marvel
Part 2,Kat Farrell,Human,Marvel
The Capture Of X-51,Abel Stack,Human,Marvel
The Capture Of X-51,Dr. Broadhurst,Human,Marvel
Machine Man,Peter Spaulding,Human,Marvel
With a Nation Against Him!,Miles Brickman,Human,Marvel
2000ad Winter Special 1995,Ramone Dexter,Human,Rebellion
,Victoria Principal,Human,Non-Fictional
,Toad,Other,Nintendo
"Head, Part 1",Levi,Human,Vertigo
,Whoopi Goldberg,Human,Non-Fictional
,Chevy Chase,Human,Non-Fictional
Volume 4,Clefable,Animal,Nintendo
,Jessie,Human,Amerotica
,Vortigern,Other,Non-Fictional
Lex & Max; Sebastianâ€™s Monster; Night Clubs Suck,Lex,Human,SLG Publishing
Born with the Dead,Grandma Dickman,Other,Vertigo
End of Greys,Colony,Alien,Marvel
La Morte Bionda,Zakimort,Human,Editoriale Mercury
Aftermath,Jack Kubrick,Human,Marvel
Save the Tiger (Part 10); Elements Of Doom (Part 10); God's Country (Part 1); Meets The F.F.;,Jill Spaulding,Human,Marvel
"Room and Boredom, Part 4: The Longing",Floyd,Animal,Vertigo
,Dinny,Animal,Newspaper: Funny Pages
Alley Oop,Ooola,Human,Antarctic Press
,Abdul Kazir,Human,Marvel
Prog 548,Protoid,Alien,Rebellion
The Mountain of Judgement!,Darkseid,God/Eternal,DC Comics
Ashcan,Billy Batson,God/Eternal,DC Comics
The Menace of Metallo!; Congo Bill Dies at Dawn!; The Supergirl From Krypton!,Supergirl,Alien,DC Comics
The DC Comics Encyclopedia,Ryan Choi,Human,DC Comics
Make Way for Firestorm!,Firestorm,Human,DC Comics
Captain Marvel and Captain Marvel Jr. Proudly Present Mary Marvel,Mary Marvel,God/Eternal,DC Comics
"Doctor Fate: ""Mr. Who""",Aquaman,Other,DC Comics
The Contest Begins!,Artemis,God/Eternal,DC Comics
"""The Spectre!""",Spectre,God/Eternal,DC Comics
Orion Fights for Earth!,Orion,God/Eternal,DC Comics
Birth Pains,Takion,God/Eternal,DC Comics
,The Wizard,God/Eternal,DC Comics
,La Salamanca,Human,DC Comics
,Cachiru,Human,DC Comics
The Adventures Of The Girl Phantom,Julie Walker,Human,King Features Syndicate
The Scarlet Citadel,Tsotha-Lanti,Human,Dark Horse Comics
I Fought The Law,Cimarron,Mutant,Eclipse
,Pampero,Human,DC Comics
,Vizacacha,Human,DC Comics
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Gene Furey,Human,Vertigo
,Tangi,Human,Fox Comics (US)
,Max Mercury,Human,DC Comics
Menace of the Super-Gorilla / The Pied Piper of Peril!,Gorilla Grodd,Animal,DC Comics
Krypto's Mean Master! / The Comic Book Archer! / The Kid from Atlantis!,Tempest,Other,DC Comics
,Methuselah,Human,In the Public Domain
The Origin of Metamorpho,Metamorpho,Radiation,DC Comics
Red Alert!,Rocket Red (Pushkin),Human,DC Comics
Between Friend and Foe; Where Nightmares Begin; Whatever Happened to Sargon the Sorcerer,Cyborg,Cyborg,DC Comics
Between Friend and Foe; Where Nightmares Begin; Whatever Happened to Sargon the Sorcerer,Starfire,Alien,DC Comics
No More Teachers' Dirty Looks...?!,Crimson Fox,Human,DC Comics
One Freeze-Dried Flash Coming Right Up!,Golden Glider,Human,DC Comics
The Secret of the Empty Box! / The Coldest Man on Earth!,Captain Cold,Human,DC Comics
,Dan DeWinter,Human,DC Comics
Bless the Beasts,Linda Park West,Human,DC Comics
Origin of the Flash,Jay Garrick,Human,DC Comics
,Iowa Bowin,Human,DC Comics
The Pied Piper's Double Doom!; Mystery of the MatinÃ©e Idol!,Dexter Myles,Human,DC Comics
,Henry Aldrich,Human,Dell
,Homer Brown,Human,Dell
,ALF,Alien,Marvel
,Willie Tanner,Human,Marvel
,Kate Tanner,Human,Marvel
,Brian Tanner,Human,Marvel
Prog 503,Mac,Human,Rebellion
,Lynn Tanner,Human,Marvel
,Gulliver,Human,In the Public Domain
City of Crime (Part 1); When You're Strange (Part 1);,Firestone Cooley,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Blanche,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Major Selig Altbusser,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Dr. Aubrey Upchurch,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Donna Pietroforte,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Ned Van Zandt,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Masha Baklonov,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Joel Brody,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Shawn Armbruster,Human,DC Comics
The Last Time I Saw Paris; Upgrades; Tall In The Saddle; Breaking And Entering; Bad Blood; Horrors!,Kelly Armbruster,Human,DC Comics
,Conan,Human,Titan Comics
The Shadow of the Vulture,Red Sonja,Human,Dynamite Entertainment
,Ellery Queen,Human,Superior Publishers Limited
,George of The Jungle,Human,Gold Key
,Ape,Animal,Gold Key
,Ursula,Human,Gold Key
,Super Chicken,Animal,Gold Key
,Fred,Animal,Gold Key
,Tom Slick,Human,Gold Key
,Marigold,Human,Gold Key
,The Baron,Human,Gold Key
,Clutcher,Human,Gold Key
,Shep,Animal,Gold Key
Bullwinkle and Rocky,Dudley Do-Right,Human,American Mythology Productions
Bullwinkle and Rocky,Snidely Whiplash,Human,American Mythology Productions
Bullwinkle and Rocky,Inspector Fenwick,Human,American Mythology Productions
Bullwinkle and Rocky,Nell Fenwick,Human,IDW Publishing
,Horse,Animal,American Mythology Productions
,Homer,Human,IDW Publishing
Prog 1148,Katarina Dante,Human,Rebellion
,Bucky Beaver,Animal,Charlton
Man-Bull in a China Town!,Blake Tower,Human,Marvel
Let There Be..Life!,Franklin Richards,Human,Marvel
A Clash Of Iron,Valeria Richards,Human,Marvel
A Fine Night for Dying,Jean DeWolff,Human,Marvel
The Red Ghost and his Indescribable Super-Apes!,Red Ghost,Human,Marvel
The Stiltman Cometh!,Stilt-Man,Human,Marvel
Kraven The Hunter!,Kraven the Hunter,Human,Marvel
If This Be My Destiny,Harry Osborn,Human,Marvel
Disaster,George Stacy,Human,Marvel
The Fantastic Four!,Mole Man,Human,Marvel
The coming Of The Plantman!; The Search For Shang!; The Shoemaker's Strange Assistants!,Dorrie Evans,Human,Marvel
The Amazing Spider-Man #4 Nothing Can Stop The Sandman,Betty Brant,Human,Marvel
Franchise,Mr. Immortal,Other,Marvel
Franchise,Flatman,Mutant,Marvel
"Three Strikes, Yer Out/ Leftovers /The Coming Of Squirrel Girl",Squirrel Girl,Other,Marvel
Franchise,Doorman,Mutant,Marvel
Franchise,Big Bertha,Mutant,Marvel
The Sinister Secret of Maelstrom!,Deathurge,God/Eternal,Marvel
The Cure!,Maelstrom,Other,Marvel
Weapons,Zaran,Human,Marvel
"""...And Other Strangers""",Machete,Human,Marvel
The Fuse!,Oblivion,God/Eternal,Marvel
'Ware The Winds of Death; The Tentacles of the Tyrant,Mockingbird,Human,Marvel
Franchise,Dinah Soar,Other,Marvel
Great Lakes Avengers Misassembled,Grasshopper,Human,Marvel
"Three Strikes, Yer Out/ Leftovers /The Coming Of Squirrel Girl",Monkey Joe,Animal,Marvel
Look Out For The Frightful Four!,Captain Ultra,Other,Marvel
The Coming of Galactus!,Silver Surfer,Alien,Marvel
The Mad Prince Shinto And His Suicide Battalion,Hercules,God/Eternal,Marvel
First Night,Swordsman (Jarvert),Human,Marvel
Great Lakes Avengers Misassembled,Leather Boy,Human,Marvel
Great Lakes Avengers Misassembled,Audrey Hollis,Human,Marvel
Spells & Bindings,Sushil,God/Eternal,Vertigo
Spells & Bindings,Donnie Stewart,Human,Vertigo
Spells & Bindings,Cessair,Other,In the Public Domain
Spells & Bindings,Siobhan Moynihan,Human,Vertigo
Spells & Bindings,Billie Reyes,Human,Vertigo
Spells & Bindings,Scott Boehm,Human,Vertigo
Spells & Bindings,Andy Cohen,Human,Vertigo
Spells & Bindings,Julian Abbott,Human,Vertigo
Spells & Bindings,Kevin Zapada,Human,Vertigo
Spells & Bindings,Stephanie Park,Human,Vertigo
Spells & Bindings,Catherine Whittaker,Human,Vertigo
Spells & Bindings,Angel Hernandez,Human,Vertigo
Spells & Bindings,Jason Ng,Human,Vertigo
Spells & Bindings,Luke Marino,Human,Vertigo
Revolution!,Phobia,Human,DC Comics
Where Strikes Demonfang?; The Sandman/Starman,Merlyn,Human,DC Comics
Shedding Skin,Damon Matthews,Human,DC Comics
Parenthood,Peter Robinson,Human,DC Comics
Parenthood,Ramsey Robinson,Human,DC Comics
The Murder Machine,Cheshire,Human,DC Comics
Parenthood,Dylan Battles,Human,DC Comics
Trial by Fire,Michael Johnson,Human,DC Comics
Witness for the Prosecution,Joshua Logan,Human,DC Comics
Byte!,Felicity Smoak,Human,DC Comics
Danger Doubled is Death,Edward Raymond,Human,DC Comics
Dark Shadows,Ted Shoemaker,Human,DC Comics
Shedding Skin,Kate Spencer,Human,DC Comics
Death-Web / Crimes by Calculation,Calculator,Human,DC Comics
The Kids' Night Out!,Shrapnel,Human,DC Comics
Shedding Skin,Leslie Carter,Human,DC Comics
,Extremity,Human,Strip Art Features
In the Coils of Copperhead,Copperhead,Human,DC Comics
,Vixen,Human,DC Comics
Secret Identities,Linda Battles,Human,DC Comics
Triad,Amy Berg,Human,Caliber Comics
Triad,Adam Basura,Human,Caliber Comics
Triad,Kent Connors,Human,Caliber Comics
Triad,Michelle Connors,Human,Caliber Comics
Triad,Emmanuel Chancu,Human,Caliber Comics
Triad,Curt Davis,Human,Caliber Comics
Triad,Edgar Allan Raven,Human,Caliber Comics
,James Fenimore Cooper,Human,Non-Fictional
Triad,Dale Hackworth,Human,Caliber Comics
Triad,Lonnie Talbot,Human,Caliber Comics
Triad,Miles Eddington,Human,Caliber Comics
The Red Diaries,Mike Branden,Human,Caliber Comics
,Terry Kane,Human,Anglo-American Publishing Company Limited
,Commander Steel,Human,Anglo-American Publishing Company Limited
,Dr. Destine,Human,Anglo-American Publishing Company Limited
Star Wars,R2-D2,Robot,Marvel
Six Against the Galaxy,Admiral Motti,Human,Marvel
Six Against the Galaxy,Ponda Baba,Alien,Marvel
Six Against the Galaxy,Garindan,Alien,Dark Horse Comics
Six Against the Galaxy,Greedo,Alien,Marvel
Part 1 of 6: See These Eyes So Red,Cornfed,Robot,Marvel
Model Behavior,Torso Von Morso,Human,Vertigo
Six Against the Galaxy,Han Solo,Human,Marvel
,Tom Mix,Human,Non-Fictional
,Cowboy Cal,Human,Fawcett Publications
,Tex Granger,Human,Parents Magazine Press
,Wesley Snipes,Human,Non-Fictional
,Marco Polar Bear,Animal,Parents Magazine Press
,George Gershwin,Human,Non-Fictional
,Sugar Ray Robinson,Human,Non-Fictional
Ghita Of Alizarr,Dahib,Other,Eros Comix
,Il Collezionista,Human,Comic Art
Jungle Comics,Fantomah,Human,In the Public Domain
The Crossing Guard,Vitchen,Other,Marvel
The Crossing Guard,Nugent,Human,Marvel
Savage Alien Adventures & Sheer Jungle Terror,Paula,Human,Antimatter
The Sermon On The Mount,Mephisto,God/Eternal,Marvel
The Hammer and the Holocaust!; The Meaning of... Ragnarok!,Pluto,God/Eternal,Marvel
Hydra Lives!,Umar,God/Eternal,Marvel
"That's No Lady, That's Malevolence / The Secret of Knowledge",Malevolence,God/Eternal,Marvel
The Fall of Hades,Brutus Klor,Other,Marvel
The Fall of Hades,Siffror,Other,Marvel
,Nightmare,God/Eternal,Marvel
,Richie Rich,Human,Harvey
,Gloria Glad,Human,Harvey
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Dinos,Human,Vertigo
So-So Society,Cadbury,Human,Harvey
,Irish McCalla,Human,Non-Fictional
,Little Dot,Human,Harvey
,Sharon Stone,Human,Non-Fictional
,Tupac Shakur,Human,Non-Fictional
,Mr. Rich,Human,Harvey
,Mrs. Rich,Human,Harvey
,Little Lotta,Human,Harvey
,Mrs. Polka,Human,Harvey
,Mrs. Plump,Human,Harvey
The Magic Pen,Nurse Jenny,Human,Harvey
Rocky and his Friends,Bullwinkle,Animal,American Mythology Productions
Mad Mania,Richard Gere,Human,Non-Fictional
,Freckles Fenwick,Human,Harvey
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Jo,Human,Vertigo
,Uncle Branes,Human,Harvey
,Mr. Plump,Human,Harvey
,Bascomb,Human,Harvey
The Odyssey,Scylla,Other,In the Public Domain
,Top Cat,Animal,Hanna-Barbera
The Odyssey,Charybdis,God/Eternal,In the Public Domain
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Paolo,Human,Vertigo
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Mr. Limm,Human,Vertigo
,Reggie Van Dough,Human,Harvey
,Uncle Seedmore,Human,Harvey
,Cyrus the Great,Human,Non-Fictional
,Martha Stewart,Human,Non-Fictional
It takes heavy artillery to win a water pistol fight!,Marcus Antonius,Human,Non-Fictional
,Pee-Wee,Human,Harvey
,Uncle Tester De Fester,Human,Harvey
,Mr. Polka,Human,Harvey
,Uncle Spotty,Human,Harvey
,Alfonso d'Este,Human,Non-Fictional
,Chef Pierre,Human,Harvey
"Logan Dies, Part 3",Phaedra,Human,Marvel
Weapon of Mass Distraction,Cteno,Other,Marvel
,Gerald,Human,Harvey
,Fats Domino,Human,Non-Fictional
Family: Part 1 of 4,Chronos,Other,Marvel
,Pilgor,Human,Fantagor Press
"A Season in Hell, Part Six",Mr. Sands,Human,Vertigo
,Enya,Human,Non-Fictional
,Gwen Stefani,Human,Non-Fictional
Guns N' Roses `91,Lenny Kravitz,Human,Non-Fictional
Prog 505,Slick Dickens,Human,Rebellion
Cartoons of Army Life,Sad Sack,Human,Harvey
,Dr. Phil,Human,Non-Fictional
,Severus Snape,Human,Bloomsbury Publishing
,Faramir,Human,Unknown Publisher
,Nicolas Cage,Human,Non-Fictional
,Vin Diesel,Human,Non-Fictional
,Renee Zellweger,Human,Non-Fictional
,Catherine Zeta-Jones,Human,Non-Fictional
,Elmo,Other,KiZoic
,Keanu Reeves,Human,Non-Fictional
,Jean Reno,Human,Non-Fictional
,Christina Ricci,Human,Non-Fictional
,Ashton Kutcher,Human,Non-Fictional
,Lisa Marie Presley,Human,Non-Fictional
,Hilary Duff,Human,Non-Fictional
,Bill O'Reilly,Human,Non-Fictional
The 50 Worst Things About Music,P!nk,Human,Non-Fictional
,Courtney Cox,Human,Non-Fictional
,Jessica Simpson,Human,Non-Fictional
,Nicole Richie,Human,Non-Fictional
,Billy Crystal,Human,Non-Fictional
Sense fur die Simpsons?,Russell Crowe,Human,Non-Fictional
,Jessica Biel,Human,Non-Fictional
The Art of Jeff Pittarelli,Drew Barrymore,Human,Non-Fictional
Casper The Friendly Ghost,Casper,Other,Harvey
,Uncle Rush,Human,Harvey
"Book One: Blood Calls for Blood, Part One: The Monster of Greek Street",Sandy,Human,Vertigo
Epoxy,Sisyphus,Human,In the Public Domain
-,Fascinax,Human,In the Public Domain
"Vol. 7, No. 4",Tantalus,Human,In the Public Domain
"Special Summer ""Camp"" Issue",Charlie Watts,Human,Non-Fictional
Alexander the Great: the Boy Who Conquered the World,Memnon,Human,In the Public Domain
,King Louie,Animal,Disney
,Marmaduke Mouse,Animal,Quality Comics
-,Rocambole,Human,In the Public Domain
Mark ; Stevie Wonder,Stevie Wonder,Human,Non-Fictional
Rocks and Hard Places,Hypnos,God/Eternal,In the Public Domain
,Sigurd,Human,In the Public Domain
The Iliad,Patroclus,Human,In the Public Domain
Part Three,Idomeneus,Human,In the Public Domain
Quest for the Golden Fleece,Blind Phineus,Human,In the Public Domain
,AeÃ«tes,Human,In the Public Domain
,Midge Klump,Human,Archie Comics
The Odyssey,Calypso,Other,In the Public Domain
The Odyssey,Eurylochus,Human,In the Public Domain
Quest for the Golden Fleece,Zetes,Human,In the Public Domain
Quest for the Golden Fleece,Calais,Human,In the Public Domain
,Marshall January McAndrews,Human,Archie Comics
Matrix Graphic Series,NorthGuard,Cyborg,Chapterhouse Comics
Alexander the Great: the Boy Who Conquered the World,Hephaestion,Human,Non-Fictional
Alexander the Great: the Boy Who Conquered the World,Roxana,Human,Non-Fictional
,Bucephalus,Animal,Non-Fictional
,Marlene Dietrich,Human,Non-Fictional
Origin Issue,Stuporman,Alien,EC
,Hot Dog,Animal,Archie Comics
,Big Ethel,Human,Archie Comics
,Dave Winfield,Human,Non-Fictional
,Raquel Welch,Human,Non-Fictional
